scope,image_id,method,frequency_filter,pyramid_levels,nms,noise_sigma,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
noise_curve,IMG_0258,LoG,gaussian_highpass,3,True,5.0,0.6631578947368421,2.2505886554718018,63,95,218
noise_curve,IMG_0258,LoG,gaussian_highpass,3,True,10.0,0.7052631578947368,2.352476119995117,67,95,219
noise_curve,IMG_0258,LoG,gaussian_highpass,3,True,20.0,0.7052631578947368,2.456942081451416,67,95,217
noise_curve,IMG_0258,Harris,gaussian_highpass,3,True,0.0,0.6914893617021277,2.700024366378784,65,94,220
noise_curve,IMG_0258,Harris,gaussian_highpass,3,True,5.0,0.7127659574468085,2.6467158794403076,67,94,219
noise_curve,IMG_0258,Harris,gaussian_highpass,3,True,10.0,0.7021276595744681,3.031305193901062,66,94,219
noise_curve,IMG_0258,Harris,gaussian_highpass,3,True,20.0,0.6382978723404256,3.031305193901062,60,94,217
noise_curve,IMG_0258,Shi-Tomasi,gaussian_highpass,3,True,0.0,0.7228915662650602,2.860478401184082,60,83,218
noise_curve,IMG_0258,Shi-Tomasi,gaussian_highpass,3,True,5.0,0.7349397590361446,2.5643973350524902,61,83,219
noise_curve,IMG_0258,Shi-Tomasi,gaussian_highpass,3,True,10.0,0.7349397590361446,2.653291702270508,61,83,219
noise_curve,IMG_0258,Shi-Tomasi,gaussian_highpass,3,True,20.0,0.7228915662650602,2.7277326583862305,60,83,219
noise_curve,IMG_0258,SIFT,gaussian_highpass,3,True,0.0,0.4117647058823529,1.8921436071395874,7,17,36
noise_curve,IMG_0258,SIFT,gaussian_highpass,3,True,5.0,0.47058823529411764,2.782830238342285,8,17,38
noise_curve,IMG_0258,SIFT,gaussian_highpass,3,True,10.0,0.4117647058823529,3.686163902282715,7,17,37
noise_curve,IMG_0258,SIFT,gaussian_highpass,3,True,20.0,0.47058823529411764,2.2297073006629944,8,17,34
noise_curve,IMG_0259,Sobel,none,3,True,0.0,0.9056603773584906,1.5292609930038452,48,53,73
noise_curve,IMG_0259,Sobel,none,3,True,5.0,0.8867924528301887,1.6817660331726074,47,53,71
noise_curve,IMG_0259,Sobel,none,3,True,10.0,0.8679245283018868,1.7139551043510437,46,53,74
noise_curve,IMG_0259,Sobel,none,3,True,20.0,0.9056603773584906,1.7139551043510437,48,53,81
noise_curve,IMG_0259,LoG,none,3,True,0.0,0.8961038961038961,1.353157877922058,69,77,100
noise_curve,IMG_0259,LoG,none,3,True,5.0,0.935064935064935,1.3620410561561584,72,77,99
noise_curve,IMG_0259,LoG,none,3,True,10.0,0.8831168831168831,1.533899188041687,68,77,105
noise_curve,IMG_0259,LoG,none,3,True,20.0,0.8701298701298701,1.5093153715133667,67,77,124
noise_curve,IMG_0259,Harris,none,3,True,0.0,0.8829787234042553,1.4743385314941406,83,94,135
noise_curve,IMG_0259,Harris,none,3,True,5.0,0.8723404255319149,1.6254536509513855,82,94,143
noise_curve,IMG_0259,Harris,none,3,True,10.0,0.851063829787234,1.4787163734436035,80,94,158
noise_curve,IMG_0259,Harris,none,3,True,20.0,0.8085106382978723,1.474470853805542,76,94,185
noise_curve,IMG_0259,Shi-Tomasi,none,3,True,0.0,0.8,1.424919307231903,72,90,105
noise_curve,IMG_0259,Shi-Tomasi,none,3,True,5.0,0.8555555555555555,1.5211968421936035,77,90,111
noise_curve,IMG_0259,Shi-Tomasi,none,3,True,10.0,0.8,1.5712583661079407,72,90,114
noise_curve,IMG_0259,Shi-Tomasi,none,3,True,20.0,0.7888888888888889,1.5928813219070435,71,90,140
noise_curve,IMG_0259,SIFT,none,3,True,0.0,0.7391304347826086,1.1953805685043335,17,23,29
noise_curve,IMG_0259,SIFT,none,3,True,5.0,0.7391304347826086,1.1855227947235107,17,23,29
noise_curve,IMG_0259,SIFT,none,3,True,10.0,0.6956521739130435,1.242798388004303,16,23,27
noise_curve,IMG_0259,SIFT,none,3,True,20.0,0.4782608695652174,1.7082992792129517,11,23,26
noise_curve,IMG_0259,Sobel,ideal_lowpass,3,True,0.0,0.8,2.305095911026001,24,30,40
noise_curve,IMG_0259,Sobel,ideal_lowpass,3,True,5.0,0.8,2.3518394231796265,24,30,39
noise_curve,IMG_0259,Sobel,ideal_lowpass,3,True,10.0,0.8,2.3518394231796265,24,30,39
noise_curve,IMG_0259,Sobel,ideal_lowpass,3,True,20.0,0.8,2.225746273994446,24,30,40
noise_curve,IMG_0259,LoG,ideal_lowpass,3,True,0.0,0.6904761904761905,1.7814111709594727,29,42,55
noise_curve,IMG_0259,LoG,ideal_lowpass,3,True,5.0,0.6666666666666666,1.7553784847259521,28,42,55
noise_curve,IMG_0259,LoG,ideal_lowpass,3,True,10.0,0.6904761904761905,1.7293457984924316,29,42,60
noise_curve,IMG_0259,LoG,ideal_lowpass,3,True,20.0,0.7142857142857143,1.8307462930679321,30,42,64
noise_curve,IMG_0259,Harris,ideal_lowpass,3,True,0.0,0.73,1.6129263639450073,73,100,115
noise_curve,IMG_0259,Harris,ideal_lowpass,3,True,5.0,0.72,1.6818084120750427,72,100,112
noise_curve,IMG_0259,Harris,ideal_lowpass,3,True,10.0,0.71,1.68143630027771,71,100,115
noise_curve,IMG_0259,Harris,ideal_lowpass,3,True,20.0,0.72,1.7403432130813599,72,100,121
noise_curve,IMG_0259,Shi-Tomasi,ideal_lowpass,3,True,0.0,0.7215189873417721,1.2023983001708984,57,79,103
noise_curve,IMG_0259,Shi-Tomasi,ideal_lowpass,3,True,5.0,0.759493670886076,1.429395616054535,60,79,99
noise_curve,IMG_0259,Shi-Tomasi,ideal_lowpass,3,True,10.0,0.759493670886076,1.4017980694770813,60,79,107
noise_curve,IMG_0259,Shi-Tomasi,ideal_lowpass,3,True,20.0,0.6835443037974683,1.5714623928070068,54,79,103
noise_curve,IMG_0259,SIFT,ideal_lowpass,3,True,0.0,0.631578947368421,2.6216108798980713,12,19,25
noise_curve,IMG_0259,SIFT,ideal_lowpass,3,True,5.0,0.6842105263157895,2.5993854999542236,13,19,27
noise_curve,IMG_0259,SIFT,ideal_lowpass,3,True,10.0,0.6842105263157895,2.6086983680725098,13,19,27
noise_curve,IMG_0259,SIFT,ideal_lowpass,3,True,20.0,0.7368421052631579,2.816106081008911,14,19,30
noise_curve,IMG_0259,Sobel,gaussian_lowpass,3,True,0.0,0.8285714285714286,1.210644006729126,29,38,35
noise_curve,IMG_0259,Sobel,gaussian_lowpass,3,True,5.0,0.9090909090909091,1.416559100151062,30,38,33
noise_curve,IMG_0259,Sobel,gaussian_lowpass,3,True,10.0,0.8484848484848485,1.3804421424865723,28,38,33
noise_curve,IMG_0259,Sobel,gaussian_lowpass,3,True,20.0,0.7631578947368421,1.6570912599563599,29,38,38
noise_curve,IMG_0259,LoG,gaussian_lowpass,3,True,0.0,0.9130434782608695,1.1965035200119019,42,46,66
noise_curve,IMG_0259,LoG,gaussian_lowpass,3,True,5.0,0.9347826086956522,1.2530601024627686,43,46,66
noise_curve,IMG_0259,LoG,gaussian_lowpass,3,True,10.0,0.9347826086956522,1.2530601024627686,43,46,67
noise_curve,IMG_0259,LoG,gaussian_lowpass,3,True,20.0,0.8478260869565217,1.1730492115020752,39,46,69
