frequency_filter,method,image_scale,count,repeatability,repeatability_std,repeatability_valid_count,localization_error_px,localization_error_px_std,localization_error_px_valid_count
gaussian_highpass,Sobel,0.5,11,0.5890620510445259,0.09404326792490694,11,2.602591476657174,0.5169954674875051,11
gaussian_highpass,Sobel,0.75,11,0.6540273320397663,0.12595183127144205,11,2.4228722724047573,0.30124437006368154,11
gaussian_highpass,Sobel,1.0,11,0.7764444533922673,0.08933523803012502,11,2.196864588694139,0.2960842186699254,11
gaussian_highpass,Sobel,1.25,11,0.788171432742,0.06577824476894353,11,2.1753820289265025,0.33264801901820373,11
gaussian_lowpass,Harris,0.5,11,0.6227474651455506,0.13372969080932395,11,2.495231411673806,0.4064757198305611,11
gaussian_lowpass,Harris,0.75,11,0.6066762617024376,0.12005226203321652,11,2.51252759586681,0.4105895211072242,11
gaussian_lowpass,Harris,1.0,11,0.7090371518682852,0.1313444617046555,11,2.267723701216958,0.35477933872117645,11
gaussian_lowpass,Harris,1.25,11,0.7787322480554127,0.11015477880336763,11,2.065063698725267,0.2665459390463259,11
gaussian_lowpass,LoG,0.5,11,0.6220136635958137,0.1009468684179694,11,2.820824525573037,0.411429581661113,11
gaussian_lowpass,LoG,0.75,11,0.6145763023415138,0.16098676053544933,11,2.24543157490817,0.5062907915135568,11
gaussian_lowpass,LoG,1.0,11,0.7490703289038163,0.15177195697626675,11,2.21501286463304,0.4202626023537727,11
gaussian_lowpass,LoG,1.25,11,0.7923463018745164,0.12032476359578607,11,2.107019538229162,0.3357336923599326,11
gaussian_lowpass,SIFT,0.5,11,0.4298199385155907,0.14817798622508643,11,2.3421034704555166,0.551195160951903,11
gaussian_lowpass,SIFT,0.75,11,0.5043807641633729,0.1536610780579489,11,2.36366051977331,0.8063122536350837,11
gaussian_lowpass,SIFT,1.0,11,0.5467281510759772,0.12302259199758601,11,2.237298293547197,0.5905190401060922,11
gaussian_lowpass,SIFT,1.25,11,0.534530083443127,0.11691298417401116,11,2.3536427942189304,0.528432092539549,11
gaussian_lowpass,Shi-Tomasi,0.5,11,0.5885441852721017,0.09196363930556292,11,3.0022130446000532,0.5882028208536112,11
gaussian_lowpass,Shi-Tomasi,0.75,11,0.6063584476882049,0.13704117250639125,11,2.368354006247087,0.3817594253539885,11
gaussian_lowpass,Shi-Tomasi,1.0,11,0.7055683734063753,0.12893406037043764,11,2.2534155791456048,0.3473155120065862,11
gaussian_lowpass,Shi-Tomasi,1.25,11,0.7389524045426719,0.12887240577950712,11,2.22969050840898,0.24404708783361517,11
gaussian_lowpass,Sobel,0.5,11,0.6747838166810499,0.15190925646890419,11,2.5717349377545444,0.4479360471539896,11
gaussian_lowpass,Sobel,0.75,11,0.664553934150356,0.12699853614282672,11,2.4784238121726294,0.6116609351043668,11
gaussian_lowpass,Sobel,1.0,11,0.7162708766463708,0.17528949775728328,11,2.1851857629689304,0.46933871812228906,11
gaussian_lowpass,Sobel,1.25,11,0.740473098696783,0.17617797727937415,11,2.191313911568035,0.3955571026667666,11
ideal_highpass,Harris,0.5,11,0.542241498930411,0.10387566515497888,11,2.6260958909988403,0.4053644429110062,11
ideal_highpass,Harris,0.75,11,0.6064419887471835,0.11378345148986813,11,2.62559192830866,0.34860547206143205,11
ideal_highpass,Harris,1.0,11,0.684088939157571,0.1023097866023626,11,2.442202188751914,0.27790087321776874,11
ideal_highpass,Harris,1.25,11,0.679861129280089,0.08552051060379448,11,2.422920665957711,0.2644607617540562,11
ideal_highpass,LoG,0.5,11,0.4945625539694355,0.08795476863684219,11,2.888512123714794,0.3408794532433699,11
ideal_highpass,LoG,0.75,11,0.5919590961256421,0.12951712377170965,11,2.540838897228241,0.23056308319177127,11
ideal_highpass,LoG,1.0,11,0.662404151146409,0.07211583416856615,11,2.3803106654774058,0.23783544720228453,11
ideal_highpass,LoG,1.25,11,0.6458091047604192,0.11074105055937004,11,2.6161300377412275,0.23786685622051928,11
ideal_highpass,SIFT,0.5,11,0.3194176096807676,0.08807596484511467,11,2.739057096568021,0.784315017698114,11
ideal_highpass,SIFT,0.75,11,0.4960108604845448,0.11524729203361092,11,2.247041203758933,0.5833302474953581,11
ideal_highpass,SIFT,1.0,11,0.40287155636125893,0.13096598736699502,11,2.3181889707391914,0.8886403137419936,11
ideal_highpass,SIFT,1.25,11,0.38049342012190307,0.11751902870464122,11,2.1847499338063328,0.6210565690596127,11
