scope,image_id,capture_group,visible_blur,notes,method,frequency_filter,pyramid_levels,nms,repeatability,matching_accuracy,localization_error_px,matching_error_px,runtime_ms,reference_keypoints,scene_keypoints,raw_reference_keypoints,raw_scene_keypoints,repeated_points,accepted_matches,correct_matches
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,none,2,True,0.8,nan,1.424919307231903,nan,83.16339999964839,90,105,91,107,72,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,none,2,True,0.7857142857142857,1.0,1.1353707313537598,1.0761559009552002,596.8882999995913,14,16,15,18,11,8,8
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,none,3,True,0.9056603773584906,0.5,1.5292609930038452,20.334856033325195,69.57400000010239,53,73,55,73,48,2,1
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,none,3,True,0.8961038961038961,0.0,1.353157877922058,4.427613258361816,66.45679999928689,77,100,80,103,69,2,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,none,3,True,0.8829787234042553,nan,1.4743385314941406,nan,111.9090000001961,94,135,96,138,83,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,none,3,True,0.8,nan,1.424919307231903,nan,88.41940000002069,90,105,91,107,72,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,none,3,True,0.7391304347826086,0.9230769230769231,1.1953805685043335,1.1353707313537598,620.2606999995623,23,29,24,31,17,13,12
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,ideal_lowpass,1,True,0.7727272727272727,0.0,2.342196226119995,162.71572875976562,258.77480000053765,22,33,22,33,17,1,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,ideal_lowpass,1,True,0.6774193548387096,1.0,1.6721383333206177,1.3055038452148438,231.33529999995517,31,43,32,44,21,3,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,ideal_lowpass,1,True,0.7341772151898734,1.0,1.4389569759368896,1.6111316680908203,288.6546999998245,79,92,80,93,58,3,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,ideal_lowpass,1,True,0.7301587301587301,0.5,1.1117432117462158,83.8437728881836,279.6858000001521,63,83,63,83,46,2,1
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,ideal_lowpass,1,True,0.0,nan,nan,nan,598.8522999996349,4,5,4,5,0,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,ideal_lowpass,2,True,0.8214285714285714,0.5,2.342196226119995,83.03872680664062,316.3312999995469,28,38,28,38,23,2,1
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,ideal_lowpass,2,True,0.6666666666666666,1.0,1.7007420659065247,1.3055038452148438,307.9347000002599,39,51,40,52,26,3,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,ideal_lowpass,2,True,0.7446808510638298,1.0,1.6120290160179138,1.6111316680908203,324.2315999996208,94,109,95,110,70,3,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,ideal_lowpass,2,True,0.7162162162162162,0.6666666666666666,1.1472283601760864,1.5561987161636353,333.79409999997733,74,94,74,94,53,3,2
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,ideal_lowpass,2,True,0.5,0.6,2.5108823776245117,1.6459898948669434,725.7337000000916,14,16,14,16,7,5,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,ideal_lowpass,3,True,0.8,0.5,2.305095911026001,83.03872680664062,322.4214000001666,30,40,30,40,24,2,1
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,ideal_lowpass,3,True,0.6904761904761905,1.0,1.7814111709594727,1.3055038452148438,324.77639999979147,42,55,43,56,29,3,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,ideal_lowpass,3,True,0.73,0.75,1.6129263639450073,2.662318468093872,340.76850000019476,100,115,101,116,73,4,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,ideal_lowpass,3,True,0.7215189873417721,0.6666666666666666,1.2023983001708984,1.5561987161636353,343.07239999998274,79,103,79,103,57,3,2
