scope,image_id,method,frequency_filter,pyramid_levels,nms,image_scale,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
scale_curve,syn_01,Sobel,none,3,True,0.5,0.18604651162790697,1.9761410355567932,24,220,129
scale_curve,syn_01,Sobel,none,3,True,0.75,0.20454545454545456,1.898877501487732,45,220,220
scale_curve,syn_01,Sobel,none,3,True,1.0,0.36818181818181817,1.941998839378357,81,220,220
scale_curve,syn_01,Sobel,none,3,True,1.25,0.23636363636363636,2.553350329399109,52,220,220
scale_curve,syn_01,LoG,none,3,True,0.5,0.09545454545454546,2.11342716217041,21,220,220
scale_curve,syn_01,LoG,none,3,True,0.75,0.2772727272727273,1.1593167781829834,61,220,220
scale_curve,syn_01,LoG,none,3,True,1.0,0.7181818181818181,0.5800849199295044,158,220,220
scale_curve,syn_01,LoG,none,3,True,1.25,0.7,0.5098018646240234,154,220,220
scale_curve,syn_01,Harris,none,3,True,0.5,0.4409090909090909,1.5287469625473022,97,220,220
scale_curve,syn_01,Harris,none,3,True,0.75,0.6409090909090909,0.8516935706138611,141,220,220
scale_curve,syn_01,Harris,none,3,True,1.0,0.759090909090909,0.47864681482315063,167,220,220
scale_curve,syn_01,Harris,none,3,True,1.25,0.7136363636363636,0.6500885486602783,157,220,220
scale_curve,syn_01,Shi-Tomasi,none,3,True,0.5,0.6031746031746031,1.3018129467964172,114,220,189
scale_curve,syn_01,Shi-Tomasi,none,3,True,0.75,0.6863636363636364,0.8898695111274719,151,220,220
scale_curve,syn_01,Shi-Tomasi,none,3,True,1.0,0.8409090909090909,0.6241270899772644,185,220,220
scale_curve,syn_01,Shi-Tomasi,none,3,True,1.25,0.759090909090909,0.7390539050102234,167,220,220
scale_curve,syn_01,SIFT,none,3,True,0.5,0.39090909090909093,0.526760458946228,86,220,220
scale_curve,syn_01,SIFT,none,3,True,0.75,0.5181818181818182,0.44291533529758453,114,220,220
scale_curve,syn_01,SIFT,none,3,True,1.0,0.7363636363636363,0.22303633391857147,162,220,220
scale_curve,syn_01,SIFT,none,3,True,1.25,0.65,0.41077589988708496,143,220,220
scale_curve,syn_01,Sobel,ideal_lowpass,3,True,0.5,0.2535211267605634,3.963608503341675,36,220,142
scale_curve,syn_01,Sobel,ideal_lowpass,3,True,0.75,0.44545454545454544,2.5392038822174072,98,220,220
scale_curve,syn_01,Sobel,ideal_lowpass,3,True,1.0,0.5681818181818182,1.313417673110962,125,220,220
scale_curve,syn_01,Sobel,ideal_lowpass,3,True,1.25,0.5954545454545455,2.1959478855133057,131,220,220
scale_curve,syn_01,LoG,ideal_lowpass,3,True,0.5,0.28402366863905326,3.1103850603103638,48,220,169
scale_curve,syn_01,LoG,ideal_lowpass,3,True,0.75,0.36363636363636365,2.234946608543396,80,220,220
scale_curve,syn_01,LoG,ideal_lowpass,3,True,1.0,0.5954545454545455,1.5588840246200562,131,220,220
scale_curve,syn_01,LoG,ideal_lowpass,3,True,1.25,0.5409090909090909,1.98294198513031,119,220,220
scale_curve,syn_01,Harris,ideal_lowpass,3,True,0.5,0.33636363636363636,2.2066229581832886,74,220,220
scale_curve,syn_01,Harris,ideal_lowpass,3,True,0.75,0.4772727272727273,2.3947534561157227,105,220,220
scale_curve,syn_01,Harris,ideal_lowpass,3,True,1.0,0.6772727272727272,1.206237554550171,149,220,220
scale_curve,syn_01,Harris,ideal_lowpass,3,True,1.25,0.6136363636363636,1.6829296350479126,135,220,220
scale_curve,syn_01,Shi-Tomasi,ideal_lowpass,3,True,0.5,0.41899441340782123,2.2132391929626465,75,220,179
scale_curve,syn_01,Shi-Tomasi,ideal_lowpass,3,True,0.75,0.4863636363636364,2.531581401824951,107,220,220
scale_curve,syn_01,Shi-Tomasi,ideal_lowpass,3,True,1.0,0.6590909090909091,1.2439839839935303,145,220,220
scale_curve,syn_01,Shi-Tomasi,ideal_lowpass,3,True,1.25,0.6363636363636364,1.7759625911712646,140,220,220
scale_curve,syn_01,SIFT,ideal_lowpass,3,True,0.5,0.4727272727272727,1.4970937371253967,104,220,220
scale_curve,syn_01,SIFT,ideal_lowpass,3,True,0.75,0.4954545454545455,1.3618659973144531,109,220,220
scale_curve,syn_01,SIFT,ideal_lowpass,3,True,1.0,0.7181818181818181,0.7034590840339661,158,220,220
scale_curve,syn_01,SIFT,ideal_lowpass,3,True,1.25,0.6136363636363636,0.8980725407600403,135,220,220
scale_curve,syn_01,Sobel,gaussian_lowpass,3,True,0.5,0.5272727272727272,1.416427731513977,87,220,165
scale_curve,syn_01,Sobel,gaussian_lowpass,3,True,0.75,0.32727272727272727,1.4038192629814148,72,220,220
scale_curve,syn_01,Sobel,gaussian_lowpass,3,True,1.0,0.25,1.3967363834381104,55,220,220
scale_curve,syn_01,Sobel,gaussian_lowpass,3,True,1.25,0.2318181818181818,1.362583875656128,51,220,220
scale_curve,syn_01,LoG,gaussian_lowpass,3,True,0.5,0.39901477832512317,1.3344827890396118,81,220,203
scale_curve,syn_01,LoG,gaussian_lowpass,3,True,0.75,0.41363636363636364,1.4343605041503906,91,220,220
scale_curve,syn_01,LoG,gaussian_lowpass,3,True,1.0,0.5772727272727273,1.4766664505004883,127,220,220
scale_curve,syn_01,LoG,gaussian_lowpass,3,True,1.25,0.5681818181818182,1.4308141469955444,125,220,220
