scope,image_id,ablation,lighting,scale_factor,blur_sigma,noise_sigma,source_type,method,frequency_filter,pyramid_levels,nms,repeatability,matching_accuracy,localization_error_px,matching_error_px,runtime_ms,reference_keypoints,scene_keypoints,raw_reference_keypoints,raw_scene_keypoints,repeated_points,accepted_matches,correct_matches
ablation,syn_05,no_nms,mixed_light,0.98,0.4,3.0,synthetic_procedural,Harris,gaussian_lowpass,3,False,0.6545454545454545,1.0,0.49441465735435486,0.4175749123096466,358.6023000000296,220,220,220,220,144,65,65
ablation,syn_05,no_nms,mixed_light,0.98,0.4,3.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,False,0.75,1.0,0.4947126805782318,0.40658479928970337,381.44489999990583,220,220,220,220,165,89,89
ablation,syn_05,no_nms,mixed_light,0.98,0.4,3.0,synthetic_procedural,SIFT,gaussian_lowpass,3,False,0.6863636363636364,0.9560439560439561,0.13828308880329132,0.08975699543952942,681.9138999999268,220,220,220,220,151,91,87
ablation,syn_06,full,shadow_band,0.86,1.6,10.0,synthetic_procedural,Sobel,gaussian_lowpass,3,True,0.21818181818181817,0.5714285714285714,1.5075880885124207,2.5022528171539307,326.2778000000708,220,220,220,220,48,7,4
ablation,syn_06,full,shadow_band,0.86,1.6,10.0,synthetic_procedural,LoG,gaussian_lowpass,3,True,0.3090909090909091,0.0,1.6177030205726624,9.83635425567627,323.8850000000184,220,220,220,220,68,1,0
ablation,syn_06,full,shadow_band,0.86,1.6,10.0,synthetic_procedural,Harris,gaussian_lowpass,3,True,0.6681818181818182,0.8548387096774194,1.8211872577667236,1.3877160549163818,338.23549999988245,220,220,220,220,147,62,53
ablation,syn_06,full,shadow_band,0.86,1.6,10.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,True,0.6363636363636364,0.8723404255319149,1.9048871397972107,1.7383453845977783,319.97290000003886,220,220,220,220,140,47,41
ablation,syn_06,full,shadow_band,0.86,1.6,10.0,synthetic_procedural,SIFT,gaussian_lowpass,3,True,0.6818181818181818,0.8243243243243243,0.8218339383602142,0.8411169052124023,582.6363999999558,220,220,220,220,150,74,61
ablation,syn_06,no_pyramid,shadow_band,0.86,1.6,10.0,synthetic_procedural,Sobel,gaussian_lowpass,1,True,0.08053691275167785,0.6,1.2582107484340668,1.573196530342102,255.2006999999321,149,220,149,220,12,5,3
ablation,syn_06,no_pyramid,shadow_band,0.86,1.6,10.0,synthetic_procedural,LoG,gaussian_lowpass,1,True,0.14130434782608695,nan,1.545185923576355,nan,257.37819999994827,92,220,92,220,13,0,0
ablation,syn_06,no_pyramid,shadow_band,0.86,1.6,10.0,synthetic_procedural,Harris,gaussian_lowpass,1,True,0.6318181818181818,0.8809523809523809,2.752394437789917,1.3848309516906738,275.5440999999337,220,220,220,220,139,42,37
ablation,syn_06,no_pyramid,shadow_band,0.86,1.6,10.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,1,True,0.6181818181818182,0.8837209302325582,1.930491328239441,1.465653896331787,254.20320000011998,220,220,220,220,136,43,38
ablation,syn_06,no_pyramid,shadow_band,0.86,1.6,10.0,synthetic_procedural,SIFT,gaussian_lowpass,1,True,0.5570469798657718,0.8157894736842105,0.6920762062072754,0.48439961671829224,464.6714000000429,151,149,151,149,83,38,31
ablation,syn_06,no_frequency,shadow_band,0.86,1.6,10.0,synthetic_procedural,Sobel,none,3,True,0.06363636363636363,0.75,2.1009888648986816,1.7920029163360596,124.34320000011212,220,220,220,220,14,8,6
ablation,syn_06,no_frequency,shadow_band,0.86,1.6,10.0,synthetic_procedural,LoG,none,3,True,0.03636363636363636,1.0,0.7724608480930328,1.4292452335357666,152.93910000013966,220,220,220,220,8,2,2
ablation,syn_06,no_frequency,shadow_band,0.86,1.6,10.0,synthetic_procedural,Harris,none,3,True,0.5636363636363636,0.8421052631578947,1.8903239369392395,1.3289984464645386,165.60980000008385,220,220,220,220,124,19,16
ablation,syn_06,no_frequency,shadow_band,0.86,1.6,10.0,synthetic_procedural,Shi-Tomasi,none,3,True,0.6318181818181818,1.0,1.670605182647705,1.599124789237976,127.56439999998292,220,220,220,220,139,14,14
ablation,syn_06,no_frequency,shadow_band,0.86,1.6,10.0,synthetic_procedural,SIFT,none,3,True,0.37727272727272726,0.9285714285714286,1.2984498739242554,0.3213810622692108,756.4072000000124,220,220,220,220,83,14,13
ablation,syn_06,no_nms,shadow_band,0.86,1.6,10.0,synthetic_procedural,Sobel,gaussian_lowpass,3,False,0.004545454545454545,nan,0.26336798071861267,nan,352.31419999990976,220,220,220,220,1,0,0
ablation,syn_06,no_nms,shadow_band,0.86,1.6,10.0,synthetic_procedural,LoG,gaussian_lowpass,3,False,0.0,nan,nan,nan,359.46610000019064,220,220,220,220,0,0,0
ablation,syn_06,no_nms,shadow_band,0.86,1.6,10.0,synthetic_procedural,Harris,gaussian_lowpass,3,False,0.33636363636363636,0.8571428571428571,0.9149667322635651,0.37498798966407776,405.5329999998776,220,220,220,220,74,7,6
ablation,syn_06,no_nms,shadow_band,0.86,1.6,10.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,False,0.5409090909090909,1.0,0.6810293197631836,0.5661340355873108,348.3346000000438,220,220,220,220,119,10,10
